task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	41/d47595	957295	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:STUDY_METADATA:CLINICAL_SAMPLES (1)	COMPLETED	0	2026-03-24 14:07:25.033	1.2s	926ms	55.5%	21.9 MB	215.5 MB	12.1 MB	1.1 KB
3	af/16535b	957646	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:STUDY_METADATA:WRITE_CASE_LISTS	COMPLETED	0	2026-03-24 14:07:26.260	197ms	45ms	34.8%	0	0	192.3 KB	1.1 KB
14	e0/d671d0	957762	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:PER_SAMPLE_FORMAT:FORMAT_SV (25cn001365_5923)	COMPLETED	0	2026-03-24 14:07:26.475	1.1s	884ms	64.6%	11.9 MB	17.9 MB	12.1 MB	579 B
11	5e/739c9a	958059	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:PER_SAMPLE_FORMAT:FORMAT_CNA (25bm002415_5922)	COMPLETED	0	2026-03-24 14:07:27.603	1.1s	870ms	63.8%	12.7 MB	17.9 MB	12.1 MB	283 B
4	91/79efb5	958361	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:STUDY_METADATA:WRITE_META	COMPLETED	0	2026-03-24 14:07:28.684	284ms	50ms	48.0%	3.3 MB	4.4 MB	116.3 KB	1.9 KB
1	cb/2afe34	958521	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:STUDY_METADATA:CLINICAL_PATIENTS (1)	COMPLETED	0	2026-03-24 14:07:28.974	1.2s	856ms	66.7%	14.3 MB	62.5 MB	12.1 MB	1019 B
16	84/96dd79	958848	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:PER_SAMPLE_FORMAT:FORMAT_SV (25bm002415_5922)	COMPLETED	0	2026-03-24 14:07:30.134	1.1s	872ms	62.7%	16.3 MB	62.5 MB	12.1 MB	571 B
8	b8/f257eb	959149	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:PER_SAMPLE_FORMAT:FORMAT_CNA (25bm002356_5924)	COMPLETED	0	2026-03-24 14:07:31.236	1s	830ms	68.8%	12.1 MB	17.8 MB	12.1 MB	236 B
9	83/0e2feb	959446	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:PER_SAMPLE_FORMAT:FORMAT_CNA (25cn001365_5923)	COMPLETED	0	2026-03-24 14:07:32.287	1.1s	809ms	71.2%	11.7 MB	17.8 MB	12.1 MB	236 B
10	e1/d1a271	959743	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:PER_SAMPLE_FORMAT:FORMAT_CNA (25bm002398_5925)	COMPLETED	0	2026-03-24 14:07:33.352	1.1s	843ms	72.7%	13.7 MB	62.5 MB	12.1 MB	236 B
6	80/565e50	957303	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:PER_SAMPLE_FORMAT:VCF_TO_MAF (25cn001365_5923)	COMPLETED	0	2026-03-24 14:07:25.050	15.8s	15.5s	93.0%	292 MB	315 MB	3.1 GB	1.3 MB
15	40/2c3ba0	961267	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:PER_SAMPLE_FORMAT:FORMAT_SV (25bm002398_5925)	COMPLETED	0	2026-03-24 14:07:40.886	1.1s	771ms	76.4%	12.3 MB	17.9 MB	12.1 MB	447 B
