task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
26	1f/e67ab9	3203636	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:PER_SAMPLE_FORMAT:FORMAT_CNA_VCF (25bm002387_5928)	COMPLETED	0	2026-03-23 18:41:34.629	9.7s	9.5s	1.9%	26.9 MB	34.6 MB	2.1 MB	67.1 KB
25	56/84d394	3205256	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:PER_SAMPLE_FORMAT:STUB_SV (25bm002393_5930)	COMPLETED	0	2026-03-23 18:41:44.310	78ms	4ms	66.7%	0	0	149 KB	329 B
28	ff/b676a8	3205336	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:PER_SAMPLE_FORMAT:FORMAT_CNA_VCF (25bm002393_5930)	COMPLETED	0	2026-03-23 18:41:44.392	3.9s	3.7s	3.8%	26.8 MB	34.6 MB	1.9 MB	24.6 KB
29	94/7c84f1	3205076	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:PER_SAMPLE_FORMAT:VCF_TO_MAF (25bm002384_5927)	COMPLETED	0	2026-03-23 18:41:43.733	15.3s	15.1s	94.8%	376.3 MB	399.4 MB	3.1 GB	1.3 MB
30	39/4b6189	3206069	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:PER_SAMPLE_FORMAT:VCF_TO_MAF (25bm002387_5928)	COMPLETED	0	2026-03-23 18:41:48.249	15.4s	15.1s	94.9%	298.4 MB	320.9 MB	3.1 GB	1.4 MB
31	f9/71bcce	3208338	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:PER_SAMPLE_FORMAT:VCF_TO_MAF (25bm002393_5930)	COMPLETED	0	2026-03-23 18:41:59.057	14.4s	14.1s	95.4%	337.3 MB	360.3 MB	3.1 GB	1.3 MB
35	7c/b56891	3211087	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:PER_SAMPLE_FORMAT:PASSTHROUGH_MUTATIONS (25cn001365_5923)	COMPLETED	0	2026-03-23 18:42:13.430	194ms	6ms	80.0%	0	0	159.2 KB	207 B
36	7c/aeecb7	3211217	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:PER_SAMPLE_FORMAT:PASSTHROUGH_MUTATIONS (23hi053835_5926)	COMPLETED	0	2026-03-23 18:42:13.627	135ms	17ms	80.0%	0	0	159.2 KB	207 B
37	f1/2f5c11	3211361	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:PER_SAMPLE_FORMAT:PASSTHROUGH_MUTATIONS (25bm002415_5922)	COMPLETED	0	2026-03-23 18:42:13.767	77ms	5ms	36.4%	0	0	159.2 KB	207 B
38	46/572354	3211467	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:PER_SAMPLE_FORMAT:PASSTHROUGH_MUTATIONS (25bm002356_5924)	COMPLETED	0	2026-03-23 18:42:13.850	73ms	5ms	66.7%	0	0	159.2 KB	207 B
